date,target_date,fold_index,return_valid,held_missing_return_count,gross_return,strict_gross_return,turnover,net_return_0bps,conditional_wealth_0bps,drawdown_0bps,net_return_5bps,conditional_wealth_5bps,drawdown_5bps,net_return_10bps,conditional_wealth_10bps,drawdown_10bps,net_return_20bps,conditional_wealth_20bps,drawdown_20bps
2009-01-02,2009-01-05,0,True,3,-0.007776146376086037,nan,0.9999999990686774,-0.007776146376086037,0.992223853623914,0.007776146376086035,-0.008276146375620375,0.9917238536243796,0.008276146375620352,-0.008776146375154715,0.9912238536248453,0.00877614637515467,-0.009776146374223391,0.9902238536257766,0.009776146374223416
2009-01-05,2009-01-06,0,True,1,-0.027410277716582714,nan,0.6363636357709765,-0.027410277716582714,0.9650267222390646,0.034973277760935395,-0.027728459534468203,0.9642248788797891,0.03577512112021086,-0.02804664135235369,0.9634233537023313,0.03657664629766866,-0.028683004988124667,0.9618212578928683,0.03817874210713168
2009-01-06,2009-01-07,0,True,1,0.021872619407130055,nan,0.5100000100210309,0.021872619407130055,0.9861343844523099,0.013865615547690058,0.02161761940211954,0.9850691253294673,0.014930874670532668,0.021362619397109026,0.9840046001257606,0.01599539987423937,0.020852619387087993,0.9818777505021185,0.01812224949788155
2009-01-07,2009-01-08,0,True,0,-0.009705204866918284,-0.009705204866918284,0.5699999872595072,-0.009705204866918284,0.9765637482248879,0.023436251775112105,-0.009990204860548038,0.9752280829656251,0.02477191703437487,-0.01027520485417779,0.9738937512820152,0.026106248717984837,-0.010845204841437299,0.9712290851686733,0.028770914831326655
2009-01-08,2009-01-09,0,True,0,0.00728141987020701,0.00728141987020701,0.8099999818950891,0.00728141987020701,0.9836745189057363,0.016325481094263683,0.0068764198792594655,0.981934160742142,0.018065839257857985,0.0064714198883119205,0.9801962266731644,0.019803773326835583,0.005661419906416831,0.9767276208451383,0.02327237915486169
2009-01-09,2009-01-12,0,True,0,0.02974889435420769,0.02974889435420769,0.789999982342124,0.02974889435420769,1.0129377482475892,0.0,0.029353894363036627,1.010757752368024,0.0,0.028958894371865565,1.0085816256650937,0.0,0.02816889438952344,1.0042409580440557,0.0
2009-01-12,2009-01-13,0,True,0,0.0018308249184025467,0.0018308249184025467,0.7499999832361937,0.0018308249184025467,1.0147922599178714,0.0,0.0014558249267844498,1.012229238698862,0.0,0.001080824935166353,1.0096717258352632,0.0,0.00033082495193015944,1.004573186010727,0.0
2009-01-13,2009-01-14,0,True,0,0.004547610024090258,0.004547610024090258,0.7799999825656414,0.004547610024090258,1.019407139371443,0.0,0.004157610032807437,1.0164376931371775,0.0,0.0037676100415246164,1.0134757751681638,0.0,0.002987610058958975,1.007574458966213,0.0
2009-01-14,2009-01-15,0,True,0,0.005032499911686755,0.005032499911686755,0.8899999801069498,0.005032499911686755,1.0245373057103027,0.0,0.00458749992163328,1.0211006009747894,0.0,0.0041424999315798055,1.0176740984974557,0.0,0.003252499951472855,1.010851594845106,0.0
2009-01-15,2009-01-16,0,True,0,0.00022777987833440586,0.00022777987833440586,1.0499999765306711,0.00022777987833440586,1.0247706746931464,0.0,-0.00029722010993092976,1.020797109341917,0.0002972201099310512,-0.0008222200981962654,1.0168373464002574,0.0008222200981962136,-0.0018722200747269366,1.0089590581966672,0.0018722200747269824
2009-01-16,2009-01-20,0,True,0,0.008939364609092237,0.008939364609092237,0.9899999778717756,0.008939364609092237,1.0339314733949339,0.0,0.00844436462015635,1.0294170923364019,0.0,0.007949364631220462,1.0249205572374358,0.0,0.006959364653348685,1.0159807722029572,0.0
2009-01-20,2009-01-21,0,True,0,0.0006551049858354778,0.0006551049858354778,0.6999999843537807,0.0006551049858354778,1.0346088070581672,0.0,0.00030510499365858743,1.0297311726318312,0.0,-4.489499851830295e-05,1.0248745434305373,4.489499851823009e-05,-0.0007448949828720837,1.0152239732230488,0.000744894982872002
2009-01-21,2009-01-22,0,True,0,-0.009422514952995942,-0.009422514952995942,0.669999985024333,-0.009422514952995942,1.0248601901031602,0.009422514952996064,-0.00975751494550811,1.0196835553250205,0.009757514945508139,-0.010092514938020276,1.014530981791368,0.010136956833095345,-0.010762514923044609,1.004297610061003,0.011499392962547428
2009-01-22,2009-01-23,0,True,0,-0.012411994733777474,-0.012411994733777474,1.1199999749660492,-0.012411994733777474,1.0121396308207415,0.021717557480798066,-0.012971994721260498,1.006456225627988,0.022602935234403043,-0.013531994708743523,1.0008023539139108,0.023531778295610595,-0.014651994683709573,0.989582646817527,0.025982898601703885
2009-01-23,2009-01-26,0,True,0,-0.00019661491573787476,-0.00019661491573787476,0.8899999801069498,-0.00019661491573787476,1.0119406290725128,0.021909902400801706,-0.0006416149057913497,1.0058104683115987,0.023230047760033234,-0.0010866148958448246,0.9997148671683513,0.02459282321063372,-0.0019766148759517745,0.9876266230368437,0.02790815529375923
2009-01-26,2009-01-27,0,True,1,0.000982070114136736,nan,0.979999978095293,0.000982070114136736,1.0129344257216057,0.02094934934701642,0.0004920701250890894,1.0063053975945566,0.022749408447451436,2.0701360414429344e-06,0.9997169367141291,0.024590803985081955,-0.00097792984205385,0.9866607934893691,0.0288587929179146
2009-01-27,2009-01-28,0,True,0,-0.016399864452684525,-0.016399864452684525,0.8099999818950891,-0.016399864452684525,0.9963224384403137,0.03700564731003786,-0.01680486444363207,0.9893945717990849,0.03917197216595114,-0.017209864434579614,0.9825119437603257,0.04137746401674103,-0.018019864416474705,0.9688812997656393,0.04635862579878536
2009-01-28,2009-01-29,0,True,0,0.014830964694405523,0.014830964694405523,0.8999999798834324,0.014830964694405523,1.0110988613490661,0.022723512064380946,0.014380964704463806,1.0036230202149155,0.025354338210610283,0.013930964714522091,0.9961992829804472,0.028022927293412603,0.013030964734638658,0.9815067578149362,0.033931758682076985
2009-01-29,2009-01-30,0,True,0,0.014358194538884164,0.014358194538884164,0.6299999859184027,0.014358194538884164,1.0256164154983602,0.008691586132323903,0.014043194545924963,1.0177170935385622,0.011667199568760167,0.01372819455296576,1.0098753005507277,0.014679436938274448,0.01309819456704736,0.9943627242976681,0.02127800889224951
2009-01-30,2009-02-02,0,True,1,-0.005757699969925637,nan,0.7299999836832285,-0.005757699969925637,1.01971122389369,0.01439924255703684,-0.0061226999617672515,1.0114859171288637,0.017718464768173958,-0.006487699953608865,1.003323532610194,0.021071901109540048,-0.007217699937292094,0.9871857125248593,0.028342130546094357
2009-02-02,2009-02-03,0,True,0,0.0029266748845784936,0.0029266748845784936,0.6299999859184027,0.0029266748845784936,1.0226955871221826,0.01151470957400691,0.0026116748916192923,1.0141275895018558,0.015153064746107558,0.002296674898660091,1.0056278405827748,0.018823621517225164,0.0016666749127416882,0.9888310301861415,0.026722692751307453
2009-02-03,2009-02-04,0,True,0,-0.0019455199458997424,-0.0019455199458997424,0.6799999848008156,-0.0019455199458997424,1.0207059124588527,0.01343782742275923,-0.00228551993830015,1.011809780676069,0.017403952052804095,-0.002625519930700558,1.0029875446444574,0.0213997196544643,-0.0033055199155013733,0.9855624295227955,0.029939880273723518
2009-02-04,2009-02-05,0,True,0,-0.008730574850776418,-0.008730574850776418,0.6799999848008156,-0.008730574850776418,1.0117945630895007,0.022051082315389436,-0.009070574843176825,1.0026320843333885,0.026316663046318967,-0.009410574835577234,0.9935488552964288,0.03060891082677286,-0.010090574820378048,0.9756175380875421,0.0397283444920864
2009-02-05,2009-02-06,0,True,0,-0.006809410104771755,-0.006809410104771755,0.6899999845772982,-0.006809410104771755,1.0049048389676458,0.028710337557421695,-0.007154410097060404,0.995458843225597,0.033282792943559736,-0.007499410089349053,0.9860978249867576,0.03787877214144364,-0.00818941007392635,0.9676278059928288,0.04759240286140887
2009-02-06,2009-02-09,0,True,1,-0.0003902449927494122,nan,0.6099999863654375,-0.0003902449927494122,1.004512679886049,0.02908937848469917,-0.0006952449859321309,0.9947667554561426,0.03395489823458009,-0.0010002449791148497,0.9851114855883985,0.03884112906890902,-0.0016102449654802871,0.9660696881897702,0.04912601239978631
2009-02-09,2009-02-10,0,True,1,0.028593134086127174,nan,0.6099999863654375,0.028593134086127174,1.0332348456332459,0.001328000898067061,0.028288134092944454,1.022906850825689,0.006627284856007831,0.027983134099761737,1.0126779923928342,0.011944891492468579,0.0273731341133963,0.9925140433274757,0.023097611212265834
2009-02-10,2009-02-11,0,True,0,-0.007544229847147111,-0.007544229847147111,0.5699999872595072,-0.007544229847147111,1.0254398844717072,0.008862212001201741,-0.007829229840776865,1.0148982779848696,0.014404628160426647,-0.008114229834406617,1.0044608904143133,0.019962197731958176,-0.008684229821666126,0.9838948232739888,0.0315812560698332
2009-02-11,2009-02-12,0,True,0,-0.0013343350138960725,-0.0013343350138960725,0.6399999856948853,-0.0013343350138960725,1.024071604129211,0.010184721855324042,-0.001654335006743515,1.0132192962353155,0.01603513308654525,-0.0019743349995909576,1.002477748122648,0.02189712066589833,-0.0026143349852858428,0.981322592615662,0.034113027072496305
2009-02-12,2009-02-13,0,True,0,0.004941839878874216,0.004941839878874216,0.6399999856948853,0.004941839878874216,1.0291324020213195,0.005293213241069683,0.004621839886026774,1.0179022335919479,0.011487405018195673,0.004301839893179331,1.0067902468915464,0.017689478679945414,0.003661839907484446,0.9849160388474181,0.030576103608911165
2009-02-13,2009-02-17,0,True,0,0.013729544902182804,0.013729544902182804,0.6899999845772982,0.013729544902182804,1.0432619215451624,0.0,0.013384544909894155,1.0315263917513409,0.0,0.013039544917605506,1.0199183335384958,0.004880596514156177,0.012349544933028207,0.9970793037244244,0.01860415964127804
