fold_index,test_year,transaction_cost_bps,calendar_dates,valid_return_dates,missing_return_dates,held_missing_return_nodes,sharpe,mean_daily_net_return_bps,mean_daily_turnover,maximum_drawdown,cumulative_net_return
0,2009,0.0,252,252,0,22,-0.9917029444814783,-6.32607354697311,0.7153270674189405,0.22157179176972386,-0.15832875903923682
0,2009,5.0,252,252,0,22,-1.5522150791600828,-9.902708884067811,0.7153270674189405,0.2659322062947811,-0.23093642587534247
0,2009,10.0,252,252,0,22,-2.112514742308027,-13.479344221162515,0.7153270674189405,0.31990070169578677,-0.2973039511809108
0,2009,20.0,252,252,0,22,-3.2322076676923106,-20.632614895351924,0.7153270674189405,0.4226368459499693,-0.4134101369067149
1,2010,0.0,252,252,0,26,-0.13166865886777232,-0.31335422593415274,0.8143558474072802,0.046549239153916955,-0.009639747828002698
1,2010,5.0,252,252,0,26,-1.8404691965908342,-4.385133462970555,0.8143558474072802,0.1083294606823263,-0.1062462988005396
1,2010,10.0,252,252,0,26,-3.5445154074546696,-8.456912700006956,0.8143558474072802,0.1934635916859121,-0.1934635916859121
1,2010,20.0,252,252,0,26,-6.93375751771495,-16.600471174079757,0.8143558474072802,0.3432794940539903,-0.3432794940539903
2,2011,0.0,252,252,0,15,1.6380808584171458,4.055251771450892,0.6484832422815204,0.03593234632592279,0.10543194593512495
2,2011,5.0,252,252,0,15,0.328055697281185,0.8128355600432897,0.6484832422815204,0.04913209389184647,0.018715599568239316
2,2011,10.0,252,252,0,15,-0.979559901758725,-2.429580651364312,0.6484832422815204,0.08319088459820734,-0.06122371512389846
2,2011,20.0,252,252,0,15,-3.5849747895419033,-8.914413074179516,0.6484832422815204,0.2028408984820793,-0.2028408984820793
3,2012,0.0,250,250,0,23,-0.9001500171001834,-1.737770976155625,0.4249119167029858,0.054118969984351284,-0.04363691492295241
3,2012,5.0,250,250,0,23,-2.0009954257043634,-3.8623305596705535,0.4249119167029858,0.09740755284022651,-0.09312132466593315
3,2012,10.0,250,250,0,23,-3.101897102563004,-5.986890143185485,0.4249119167029858,0.14265121798803726,-0.14005521738381477
3,2012,20.0,250,250,0,23,-5.302504370880984,-10.23600931021534,0.4249119167029858,0.22865361194921507,-0.2267885427132582
4,2013,0.0,252,252,0,10,0.03192089873356637,0.056332461813960184,0.3658389430456159,0.028335883247549765,0.00043499172945371534
4,2013,5.0,252,252,0,10,-1.0048262011211142,-1.7728622534141198,0.3658389430456159,0.05324703512055795,-0.04463773773529589
4,2013,10.0,252,252,0,10,-2.041842763531026,-3.602056968642199,0.3658389430456159,0.09270843373428062,-0.08768767632362096
4,2013,20.0,252,252,0,10,-4.115427944030367,-7.260446399098358,0.3658389430456159,0.16807685835526198,-0.16807685835526198
5,2014,0.0,252,252,0,15,0.19436305312101795,0.3720640825907732,0.4383148933051243,0.05093216971257675,0.008251187789241055
5,2014,5.0,252,252,0,15,-0.9498296299245093,-1.819510383934848,0.4383148933051243,0.07799879270462595,-0.04592831507999362
5,2014,10.0,252,252,0,15,-2.0921528117830577,-4.0110848504604695,0.4383148933051243,0.1076021432904144,-0.09720762176821374
5,2014,20.0,252,252,0,15,-4.369482538829806,-8.394233783511712,0.4383148933051243,0.19239156460075524,-0.19167601680663682
6,2015,0.0,252,252,0,25,1.979704702936171,3.0282401911973094,0.28160092749425936,0.022374287789015512,0.07848926869079076
6,2015,5.0,252,252,0,25,1.0587733006543139,1.6202355537260125,0.28160092749425936,0.03034350428081023,0.04090126446326803
6,2015,10.0,252,252,0,25,0.1386039699551803,0.21223091625471635,0.28160092749425936,0.038791189152005856,0.004618028072777669
6,2015,20.0,252,252,0,25,-1.697613979094265,-2.6037783586878778,0.28160092749425936,0.07866573083564354,-0.0642130230796133
